JD Imag e_Imag
2439530.46	13.46 0.08
2439763.22	13.43 0.08
2439765.65	13.7 0.1
2439769.65	13.45 0.08
2439771.58	13.5 0.1
2439772.56	13.47 0.09
2439773.59	13.5 0.1
2439774.62	13.44 0.09
2439774.67	13.5 0.1
2439775.63	13.49 0.09
2439796.57	14.09 0.08
2439826.67	13.6 0.1
2439827.66	13.5 0.1
2439831.69	13.7 0.1
2439852.63	14.1 0.1
2439860.58	13.60 0.08
2439876.33	13.50 0.09
2439877.33	13.53 0.06
2439878.48	13.5 0.1
2439878.52	13.45 0.09
2439879.30	13.47 0.09
2439881.51	13.5 0.1
2439885.53	13.82 0.09
2439887.50	13.9 0.1
2439905.46	13.7 0.1
2439943.30	14.0 0.1
2439947.31	14.0 0.1
2440127.66	13.7 0.1
2440241.49	13.73 0.09
2440264.25	13.65 0.08
2440273.28	13.9 0.1
2440274.44	14.0 0.1
2440479.66	14.3 0.1
2440485.66	14.0 0.1
2440509.67	13.9 0.1
2440569.55	14.3 0.1
2440588.51	13.64 0.09
2440589.58	13.5 0.1
2440621.55	14.3 0.1
2440626.32	14.3 0.1
2440647.35	13.6 0.2
2441960.64	13.6 0.1
2442747.0	14.6  0.10	
2442816.44	13.60 0.08
2443192.9	14.48  0.09	
2443211.0	13.63  0.06	
2443769.3	14.42  0.08	
2443833.2	13.66  0.06	
2443848.0	13.87  0.09
2444202.51	14.6 0.2
2444292.42	14.4 0.2
2444609.31	13.7 0.1
2444642.49	14.5 0.2
2444644.0	14.43  0.07	
2445002.48	13.8 0.1
